"Filogênese (F)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Escrita (E)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCLOLO","Linguagem e Expressão e Compreensão da Linguagem Oral",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCLOCD","Linguagem e Apresentação e Colaboração Discursiva",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCLLPA","Linguagem e Entendimento do Princípio alfabético",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCLLCL","Linguagem e Compreensão Leitora",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCLESE","Linguagem e Sistema de Escrita",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCLERL","Linguagem e Reconhecimento das Letras",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCLECG","Linguagem e Domínio das Convenções gráficas",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCLEDF","Linguagem e Desenvolvimento da Consciência Fonológica",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCLEPE","Linguagem e Produção Escrita",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Memória (M)",,,,,,,,,,,,,,,,,,,,,
"FEMFCMOFC","Memória e Consciência Fonêmica",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCMOLO","Memória e Expressão e Compreensão da Memória Oral",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCMOCD","Memória e Apresentação e Colaboração Discursiva",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCMLPA","Memória e Entendimento do Princípio alfabético",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCMLCL","Memória e Compreensão Leitora",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCMESE","Memória e Sistema de Escrita",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCMERL","Memória e Reconhecimento das Letras",,,,,,,,,,,,,,,,,,,,
